,Name,Financial Status,Paid at,Fulfillment Status,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem fulfillment status,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Tags,Risk Level,Source,Color ,Tax 3 Name,item_quantity
0,#1001,paid,11/5/15 17:17,fulfilled,no,USD,33.25,10.0,1.55,44.8,,0.0,Standard Shipping,10/27/15 16:16,5,2.75,,fulfilled,"1239 Broadway, FLR1",1239 Broadway,FLR1,US JEWELRY HOUSEW,New York,10001,NY,US,,,,Cash on Delivery (COD),0.0,USJewelryhouse,,Low,web,Tassel ,,7
1,#1002,refunded,11/3/15 16:22,fulfilled,no,USD,7.65,6.89,0.0,14.54,Thankyou15,1.35,FedEx Ground,11/3/15 16:22,2,3.75,,fulfilled,"1239 Broadway, FLR1",1239 Broadway,FLR1,US JEWELRY HOUSEW,New York,10001,NY,US,Test order from George,,,Shopify Payments,14.54,USJewelryhouse,,Low,web, Black,,3
2,#1003,paid,11/3/15 16:31,fulfilled,no,USD,6.37,6.89,0.0,13.26,thankyou15,1.13,FedEx Ground,11/3/15 16:31,1,7.5,,fulfilled,"1239 Broadway, FLR1",1239 Broadway,FLR1,US JEWELRY HOUSEW,New York,10001,NY,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Black,,1
3,#1004,paid,11/6/15 16:51,fulfilled,yes,USD,50.0,7.61,0.0,57.61,,0.0,FedEx Ground,11/6/15 16:51,1,25.0,50.0,fulfilled,"2800 Monticello Place, 23- 302",2800 Monticello Place,23- 302,La Bella Bijoux,Orlando,32835,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,Torso ,,2
4,#1005,paid,11/9/15 15:02,fulfilled,yes,USD,11.5,6.89,0.0,18.39,,0.0,FedEx Ground,11/6/15 18:09,1,5.75,,fulfilled,"1239 Broadway, FLR1",1239 Broadway,FLR1,US JEWELRY HOUSEW,New York,10001,NY,US,,,,Cash on Delivery (COD),0.0,USJewelryhouse,,Low,web, Black,,2
5,#1006,paid,11/10/15 15:25,fulfilled,yes,USD,173.5,7.83,0.0,181.33,,0.0,FedEx Ground,11/10/15 15:25,4,4.5,,fulfilled,"1255 NW29th ave, c",1255 NW29th ave,c,Kids N more,Delray Beach ,33445,FL,US,,,,Shopify Payments,0.0,USJewelryhouse,packed,Low,web, Gold,,42
6,#1007,partially_refunded,,fulfilled,yes,USD,301.0,9.9,0.0,310.9,,0.0,FedEx Ground,11/12/15 20:23,4,2.75,,fulfilled,134 Lake Blvd,134 Lake Blvd,,Lillians,Buffalo,55313,MN,US,,,,Shopify Payments,39.13,USJewelryhouse,"packed, Reviewed",Low,web, Green,,65
7,#1008,paid,11/13/15 11:24,fulfilled,yes,USD,127.5,7.61,0.0,135.11,,0.0,FedEx Ground,11/13/15 11:24,10,2.25,,fulfilled,4815 Sheridan Ave So,4815 Sheridan Ave So,,Hello Shell Fundrasing,Minneapolis,55410,MN,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Rhodium,,30
8,#1009,paid,11/13/15 16:11,fulfilled,yes,USD,200.0,9.18,0.0,209.18,,0.0,FedEx Ground,11/13/15 16:11,100,2.0,,fulfilled,103 Louisiana Avenue,103 Louisiana Avenue,,Ragazza,Perrysburg,43551,OH,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web,,,100
9,#1010,partially_refunded,,partial,yes,USD,342.0,10.96,0.0,352.96,,0.0,FedEx Ground,11/13/15 16:14,2,3.75,,fulfilled,"108 Main Ave E, PO Box 609",108 Main Ave E,PO Box 609,"Golden Rule, Inc",Rolla,58367,ND,US,,,,Shopify Payments,5.75,USJewelryhouse,,Low,web, Clear,,52
10,#1011,paid,11/13/15 22:34,fulfilled,yes,USD,100.25,6.89,0.0,107.14,,0.0,FedEx Ground,11/13/15 22:34,1,2.5,,fulfilled,14 potomac rd,14 potomac rd,,stef's salon & spa llc,portsmouth,2871,RI,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Matte Silver,,24
11,#1012,partially_refunded,,partial,yes,USD,38.46,7.28,0.0,45.74,thankyou15,6.79,FedEx Ground,11/13/15 22:41,1,6.0,,fulfilled,320 e main st,320 e main st,,impressions by tracy,washingtonville,44490,OH,US,,,,Shopify Payments,6.37,USJewelryhouse,,Low,web, Black Diamond,,9
12,#1013,paid,11/14/15 11:35,fulfilled,yes,USD,94.0,7.28,0.0,101.28,,0.0,FedEx Ground,11/14/15 11:35,1,3.75,,fulfilled,41 North Main St,41 North Main St,,The Hidden Closet,Chagrin Falls,44022,OH,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Black,,15
13,#1014,paid,11/17/15 2:48,fulfilled,yes,USD,268.0,55.06,0.0,323.06,,0.0,FedEx International Economy,11/17/15 2:48,2,2.25,,fulfilled,32 Gunnamatta Loop,32 Gunnamatta Loop,,Somerly Hair Studio,Clarkson,6030,WA,AU,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Hematite,,74
14,#1015,paid,11/17/15 16:16,fulfilled,yes,USD,71.19,8.72,0.0,79.91,THANKYOU15,12.56,FedEx Ground,11/17/15 16:16,1,7.25,,fulfilled,7912 Terraza disoma,7912 Terraza disoma,,Ruby Blooms ,carlsbad,92009,CA,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Turquoise,,20
15,#1016,paid,11/18/15 16:17,fulfilled,no,USD,92.75,6.89,0.0,99.64,,0.0,FedEx Ground,11/18/15 16:17,4,6.5,,fulfilled,1600 Division Road,1600 Division Road,,Crimzonrose,West warwick,2893,RI,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Turquoise,,11
16,#1017,paid,11/19/15 11:04,fulfilled,no,USD,225.0,7.54,0.0,232.54,,0.0,FedEx Ground,11/19/15 11:04,15,15.0,,fulfilled,"2 Miranova Pl, Suite 280",2 Miranova Pl,Suite 280,"Eloquii Design, Inc.",Columbus,43215,OH,US,Backorder-Hold,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Black,,15
17,#1018,partially_refunded,,fulfilled,yes,USD,212.0,6.89,2.21,221.1,,0.0,FedEx Ground,11/19/15 13:54,2,4.5,,fulfilled,"10 west 33rd street room 210 , 210",10 west 33rd street room 210 ,210,Statement Accessories ,New york ,10001,NY,US,,,,Shopify Payments,2.21,USJewelryhouse,,Low,web, Colorado Topaz,,32
18,#1019,paid,11/20/15 3:30,fulfilled,yes,USD,314.25,6.89,0.0,321.14,,0.0,FedEx Ground,11/20/15 3:30,4,4.5,,fulfilled,15 Olcott Square,15 Olcott Square,,The Vanity Room,Bernardsville,7924,NJ,US,,,,PayPal Express Checkout,0.0,USJewelryhouse,,Low,web, Black,,66
19,#1020,paid,11/20/15 15:42,fulfilled,yes,USD,166.25,7.83,0.0,174.08,,0.0,FedEx Ground,11/20/15 15:42,2,5.0,,fulfilled,"16645 Highland Road, Suite G",16645 Highland Road,Suite G,JKL SALON,Baton Rouge,70810,LA,US,,,,Shopify Payments,0.0,USJewelryhouse,,Low,web, Gray,,35
20,#1021,partially_refunded,,fulfilled,yes,USD,118.36,6.89,0.0,125.25,thankyou15,20.89,FedEx Ground,11/22/15 7:22,5,3.75,,fulfilled,25 Cumberland Rd,25 Cumberland Rd,,Direct Jewelry,Reading,1867,MA,US,I had a credit on my account for broken jewelry from a previous order. Please deduct from my bill. Thank you cindy 7818720042,,,Shopify Payments,6.5,USJewelryhouse,,Low,web, Black,,25
