,product_name,sale_price,regular_price,category
0,lc lauren conrad pave monogram ... pendant necklace,9.8,14.0,necklace
1,spiral christmas tree nickel ... free drop earrings,5.4,12.0,earring
2,"christmas gift, santa, ... reindeer & jingle bell charm bangle bracelet set",6.3,14.0,bracelet
3,lc lauren conrad filigree ... teardrop layered pendant necklace,12.6,18.0,earring
4,simulated crystal snowflake ... nickel free drop earrings,6.3,14.0,earring
5,primrose sterling silver cubic ... zirconia love knot stud earrings,19.99,50.0,earring
6,poinsettia nickel free drop ... earrings,4.5,10.0,earring
7,lc lauren conrad stick linear ... drop earrings,8.4,12.0,earring
8,lc lauren conrad long spiral ... tassel necklace,14.0,20.0,necklace
9,lc lauren conrad freshwater ... cultured pearl long lariat necklace,14.0,20.0,earring
10,silver tone snowman nickel ... free drop earrings,4.5,10.0,earring
11,holly leaf nickel free drop ... earrings,5.4,12.0,earring
12,simulated crystal snowflake ... nickel free drop earrings,6.3,14.0,earring
13,santa hat cat drop earrings,4.5,10.0,earring
14,lc lauren conrad filigree ... teardrop earrings,9.8,14.0,earring
15,lc lauren conrad openwork ball ... stud earrings,7.0,10.0,earring
16,candy cane drop earrings,4.5,10.0,earring
17,lc lauren conrad knot cuff ... bracelet,9.8,14.0,bracelet
18,lc lauren conrad crystal ... initial pendant necklace & stud earring set,9.99,22.0,earring
19,simply vera vera wang blue ... flower statement necklace,25.2,42.0,necklace
20,long hammered disc station ... necklace,15.6,26.0,necklace
21,lc lauren conrad long feather ... pendant necklace,12.6,18.0,necklace
22,lc lauren conrad starburst ... stud earrings,9.8,14.0,earring
23,christmas bow stud earring ... set,5.4,12.0,earring
24,red bow nickel free drop ... earrings,5.4,12.0,earring
25,glitter snowflake button stud ... earrings,4.5,10.0,earring
26,holiday bow glitter stretch ... ring,6.3,14.0,ring
27,snowflake stretch bracelet,6.3,14.0,bracelet
28,bead coil bracelet,8.4,14.0,bracelet
29,"""be merry,"" holly, santa hat & ... reindeer charm beaded stretch bracelet",6.3,14.0,bracelet
30,dana buchman simulated abalone ... teardrop earrings,12.6,18.0,earring
31,simply vera vera wang teardrop ... earrings,8.4,14.0,earring
32,beaded jingle bell & reindeer ... nickel free drop earrings,5.4,12.0,earring
33,"black bead & silver tone ... ""grandma"" charm bangle bracelet set",13.99,24.0,bracelet
34,"twist, hoop & filigree drop & ... teardrop earring set",8.4,14.0,earring
35,"snowflake, christmas tree & ... gift charm necklace & drop earring set",7.2,16.0,earring
36,dana buchman circle drop ... earrings,11.2,16.0,earring
37,"rose gold tone charm & bead ... ""best friends"" bangle bracelet set",13.99,24.0,bracelet
38,magicbax earring lifters,22.49,24.99,earring
39,simply vera vera wang silver ... tone simulated crystal dome button stud earrings,7.2,12.0,earring
40,1928 script initial necklace,16.5,22.0,necklace
41,lc lauren conrad disc tassel ... necklace,14.0,20.0,necklace
42,lc lauren conrad rose gold ... tone cosmetic bag set,25.2,42.0,set
43,holiday cats pin,6.3,14.0,pin
