,product_name,price
0,lele sadoughi starlight crystal hoop,168.0
1,oad new york dome metallic leather wristlet,295.0
2,halogen® faux fur scarf,49.0
3,ray-ban meteor 50mm wayfarer sunglasses,173.0
4,kate spade new york small square stud earrings,44.0
5,madewell paint stripe transport leather tote,188.0
6,kendra scott thomas drop earring,85.0
7,madewell medium leather transport tote,158.0
8,kate spade new york things we love oblong scarf,98.0
9,tory burch gemini link coated canvas tote,198.0
10,monica vinader engravable havana friendship chain bracelet (exclusive collection),3.0
11,street level reversible faux leather tote & wristlet,49.0
12,kate spade new york mini small square stud earrings,32.0
13,gucci gg marmont 2.0 matelassé leather shoulder bag,980.0
14,leith waffle grid oblong scarf,32.0
15,longchamp 'large le pliage' tote,145.0
16,bp. foldover crossbody bag,39.0
17,bp. reversible houndstooth & grid scarf,29.0
18,kendra scott elisa birthstone pendant necklace,55.0
19,gucci soho disco leather bag,1190.0
20,fjällräven 'kånken' water resistant backpack,80.0
21,madewell zip top transport leather tote,188.0
22,free people jaden rib knit blanket scarf,48.0
23,kate spade one in a million initial pendant necklace,48.0
24,bp. leopard print scarf,19.0
25,gucci leather belt,350.0
26,kendra scott elisa filigree pendant necklace,65.0
27,bp. faux leather canteen crossbody bag,39.0
28,nadri edwardian ear crawlers,45.0
29,halogen® faux fur cape,149.0
30,treasure & bond cable knit beanie with faux fur pom,29.0
31,herschel supply co. 'novel' duffel bag,85.0
32,burberry giant check print wool & silk scarf,390.0
33,kate spade new york jackson street - hayley leather satchel,258.0
34,kate spade new york one in a million initial pendant necklace,58.0
35,bp. check scarf,24.0
36,leith tassel faux fur stole,48.0
37,bp. knit beanie with faux fur pompom,19.0
38,kate spade new york small square stud earrings,38.0
39,rebecca minkoff 'regan' satchel,325.0
40,bp. circle charm necklace,12.0
41,tory burch perry leather tote,398.0
42,kendra scott elle filigree drop earrings,65.0
43,halogen® solid cashmere scarf,149.0
44,kyi kyi beanie with genuine fox fur pom,85.0
45,kate spade new york bright idea stud earrings,38.0
46,kate spade new york 'idiom - heart of gold' bangle,32.0
47,halogen® cashmere cable knit beanie with faux fur pom,55.0
48,bp. contrast lining faux leather tote,49.0
49,kendra scott rayne stone tassel pendant necklace,85.0
50,gucci logo leather belt,450.0
51,nordstrom cashmere lined leather touchscreen gloves,99.0
52,bose® soundsport® free wireless headphones,199.0
53,longchamp 'small le pliage' tote,125.0
54,barefoot dreams pompom beanie & scarf set,78.0
55,saint laurent 'large monogram' quilted leather wallet on a chain,1650.0
56,madewell small transport leather crossbody tote,148.0
57,kate spade new york mini small square semiprecious stone stud earrings,48.0
58,trouvé solid scarf,35.0
59,burberry small banner perforated leather tote,1650.0
60,kyi kyi genuine fox pompom hat,85.0
61,leith abstract geo print scarf,32.0
62,calpak kaya faux leather 15-inch laptop backpack,89.0
63,bp. faux fur pompom beanie,19.0
64,quay australia x desi perkins high key 62mm aviator sunglasses,65.0
65,calpak ambeur 20-inch rolling spinner carry-on,135.0
66,gucci small gg marmont 2.0 matelassé leather camera bag,1290.0
67,marc jacobs snapshot crossbody bag,295.0
68,tory burch 'ella' nylon tote,198.0
69,burberry mega check cashmere scarf,490.0
70,halogen® slouchy cashmere beanie,39.0
71,rebecca minkoff 'regan' satchel,345.0
72,gucci double-g buckle calfskin belt,350.0
73,jane basch designs personalized bar pendant necklace,98.0
74,rebecca minkoff small love leather crossbody bag,195.0
75,"david yurman cable classics bracelet with 18k gold, 4mm",395.0
76,bony levy birthstone stacking ring (nordstrom exclusive),279.0
77,burberry half mega fashion wool fringe scarf,290.0
78,bp. faux fur pompom beanie,19.0
79,fjällräven 'mini kånken' water resistant backpack,70.0
80,bp. 2-pack stone earrings,19.0
81,nordstrom tissue weight wool & cashmere scarf,99.0
82,bp. multicolor bouclé scarf,29.0
83,kate spade new york 'one in a million' initial pendant necklace,58.0
84,gucci gg marmont matelassé leather wallet on a chain,1450.0
85,rebecca minkoff 'julian' backpack,295.0
86,saint laurent medium lou calfskin leather camera bag,1150.0
87,bony levy diamond stud earrings (nordstrom exclusive),5.0
88,nordstrom 2ct tw cubic zirconia earrings,46.0
89,bp. leopard print oblong scarf,19.0
90,madewell zip top transport leather carryall,188.0
91,bp. plaid infinity scarf,19.0
