LC Lauren Conrad Pave Monogram ... Pendant Necklace,$9.80,Regular $14.00
Spiral Christmas Tree Nickel ... Free Drop Earrings,$5.40,Original $12.00
"Christmas Gift, Santa, ... Reindeer & Jingle Bell Charm Bangle Bracelet Set",$6.30,Original $14.00
LC Lauren Conrad Filigree ... Teardrop Layered Pendant Necklace,$12.60,Regular $18.00
Simulated Crystal Snowflake ... Nickel Free Drop Earrings,$6.30,Original $14.00
PRIMROSE Sterling Silver Cubic ... Zirconia Love Knot Stud Earrings,$19.99,Original $50.00
Poinsettia Nickel Free Drop ... Earrings,$4.50,Original $10.00
LC Lauren Conrad Stick Linear ... Drop Earrings,$8.40,Regular $12.00
LC Lauren Conrad Long Spiral ... Tassel Necklace,$14.00,Regular $20.00
LC Lauren Conrad Freshwater ... Cultured Pearl Long Lariat Necklace,$14.00,Regular $20.00
Silver Tone Snowman Nickel ... Free Drop Earrings,$4.50,Original $10.00
Holly Leaf Nickel Free Drop ... Earrings,$5.40,Original $12.00
Simulated Crystal Snowflake ... Nickel Free Drop Earrings,$6.30,Original $14.00
"
							
						Santa Hat Cat Drop Earrings 
							
					",$4.50,Original $10.00
LC Lauren Conrad Filigree ... Teardrop Earrings,$9.80,Regular $14.00
LC Lauren Conrad Openwork Ball ... Stud Earrings,$7.00,Regular $10.00
"
							
						Candy Cane Drop Earrings
							
					",$4.50,Original $10.00
LC Lauren Conrad Knot Cuff ... Bracelet,$9.80,Regular $14.00
LC Lauren Conrad Crystal ... Initial Pendant Necklace & Stud Earring Set,$9.99,Regular $22.00
Simply Vera Vera Wang Blue ... Flower Statement Necklace,$25.20,Regular $42.00
Long Hammered Disc Station ... Necklace,$15.60,Regular $26.00
LC Lauren Conrad Long Feather ... Pendant Necklace,$12.60,Regular $18.00
LC Lauren Conrad Starburst ... Stud Earrings,$9.80,Regular $14.00
Christmas Bow Stud Earring ... Set,$5.40,Original $12.00
Red Bow Nickel Free Drop ... Earrings,$5.40,Original $12.00
Glitter Snowflake Button Stud ... Earrings,$4.50,Original $10.00
Holiday Bow Glitter Stretch ... Ring,$6.30,Original $14.00
"
							
						Snowflake Stretch Bracelet 
							
					",$6.30,Original $14.00
"
							
						Bead Coil Bracelet
							
					",$8.40,Regular $14.00
"""Be Merry,"" Holly, Santa Hat & ... Reindeer Charm Beaded Stretch Bracelet",$6.30,Original $14.00
Dana Buchman Simulated Abalone ... Teardrop Earrings,$12.60,Regular $18.00
Simply Vera Vera Wang Teardrop ... Earrings,$8.40,Regular $14.00
Beaded Jingle Bell & Reindeer ... Nickel Free Drop Earrings,$5.40,Original $12.00
"Black Bead & Silver Tone ... ""Grandma"" Charm Bangle Bracelet Set",$13.99,Regular $24.00
"Twist, Hoop & Filigree Drop & ... Teardrop Earring Set",$8.40,Regular $14.00
"Snowflake, Christmas Tree & ... Gift Charm Necklace & Drop Earring Set",$7.20,Original $16.00
Dana Buchman Circle Drop ... Earrings,$11.20,Regular $16.00
"Rose Gold Tone Charm & Bead ... ""Best Friends"" Bangle Bracelet Set",$13.99,Regular $24.00
"
							
						MagicBax Earring Lifters
							
					",$22.49,Regular $24.99
Simply Vera Vera Wang Silver ... Tone Simulated Crystal Dome Button Stud Earrings,$7.20,Regular $12.00
"
							
						1928 Script Initial Necklace
							
					",$16.50,Regular $22.00
LC Lauren Conrad Disc Tassel ... Necklace,$14.00,Regular $20.00
LC Lauren Conrad Rose Gold ... Tone Cosmetic Bag Set,$25.20,Original $42.00
"
							
						Holiday Cats Pin
							
					",$6.30,Original $14.00
LC Lauren Conrad Multistrand ... Cube & Stick Pedant Necklace,$16.80,Regular $24.00
LC Lauren Conrad Initial Charm ... Cuff Bracelet,$9.80,Regular $14.00
"Santa Hat, Reindeer & Candy ... Cane Earring Set",$6.30,Original $14.00
Two Tone Cross & Christmas ... Tree Pin,$5.40,Original $12.00
PRIMROSE 14k Gold Over Silver ... Polished Tube Hoop Earrings,$20.00,Regular $50.00
Blue Snowflake Nickel Free ... Drop Earrings,$4.50,Original $10.00
LC Lauren Conrad Heart Travel ... Manicure Kit,$12.00,Original $20.00
Jingle Bell Cluster Stretch ... Bracelet,$6.30,Original $14.00
"Mudd® Two Tone Bead Stretch, ... Twist Bangle & Woven Bracelet Set",$9.60,Regular $16.00
"
							
						Snowflake Stretch Bracelet
							
					",$6.30,Original $14.00
Christmas Jingle Bell Cluster ... Drop Earrings,$5.40,Original $12.00
Christmas Ornament & Jingle ... Bell Long Necklace,$7.20,Original $16.00
LC Lauren Conrad Simulated ... Crystal Halo Button Stud Earrings,$8.40,Regular $12.00
Pet Friends Simulated Crystal ... Paw Print Stud Earrings,$8.00,Regular $16.00
Angel Charm Bangle Bracelet ... Set,$6.30,Original $14.00
"
							
						Holiday Dachshund Pin
							
					",$6.30,Original $14.00
Bow & Jingle Bell Drop ... Earrings,$4.50,Original $10.00
Snowflake Nickel Free Drop ... Earrings,$4.50,Original $10.00
LC Lauren Conrad Two-Tone ... Filigree Double Teardrop Earrings,$9.80,Regular $14.00
LC Lauren Conrad Two Tone ... Filigree Butterfly Pendant Necklace Set,$9.99,Regular $22.00
"
							
						Round Filigree Drop Earrings 
							
					",$4.80 - $7.20,Regular $8.00 - $12.00
LC Lauren Conrad Dyed Quartz ... Birthstone Adjustable Bracelet,$9.80,Regular $14.00
LC Lauren Conrad Runway ... Collection Pink Quartz Rectangle Stud Earrings,$8.40,Regular $12.00
"
							
						Napier Hoop Earring Set
							
					",$10.80,Regular $18.00
Reindeer Face Nickel Free Drop ... Earrings,$4.50,Original $10.00
LC Lauren Conrad Filigree ... Dangle Nickel Free Earrings,$11.20,Regular $16.00
Snowflake Charm Stretch ... Bracelet,$6.30,Original $14.00
LC Lauren Conrad Branch Ear ... Climbers,$12.60,Regular $18.00
Simply Vera Vera Wang Flower & ... Faceted Stone Statement Necklace,$27.60,Regular $46.00
Simply Vera Vera Wang Stone ... Cluster Statement Necklace,$20.40,Regular $34.00
Dana Buchman Simulated Crystal ... Textured Necklace,$25.20,Regular $36.00
"
							
						Christmas Bangle Bracelet
							
					",$6.30,Original $14.00
"
							
						Two Tone Manger Scene Pin
							
					",$6.30,Original $14.00
"
							
						Napier Drop Earrings
							
					",$8.40,Regular $14.00
"
							
						Winter Bead Charm Bracelet
							
					",$6.30,Original $14.00
LC Lauren Conrad Flower ... Pendant Necklace,$12.60,Regular $18.00
"Purple Bead & Two Tone ""#1 ... Aunt"" Charm Bangle Bracelet Set",$13.99,Regular $24.00
"
							
						Hoop Earrings
							
					",$7.20,Regular $12.00
Napier Two Tone Textured Hoop ... Earrings,$9.60,Regular $16.00
LC Lauren Conrad Zodiac Link ... Necklace,$9.80,Regular $14.00
Gold Tone Holiday Cardinals ... Pin,$6.30,Original $14.00
LC Lauren Conrad Triangle Ear ... Jacket Earrings,$8.40,Regular $12.00
Long Hammered Double Ring ... Pendant Necklace,$13.20,Regular $22.00
Snowflake & Bow Nickel Free ... Drop Earrings,$4.50,Original $10.00
Snowflake Pendant Double ... Strand Necklace,$7.20,Original $16.00
"Red Beads & Charms ""Grandma"" ... Stretch Bracelet Set",$13.99,Regular $24.00
Mudd® Silver Tone Simulated ... Crystal Teardrop & Marquise Drop Earring Set,$8.40,Regular $14.00
"LC Lauren Conrad ""Keep it ... Polished"" Travel Manicure Kit",$12.00,Original $20.00
Snowman & Snowflake Charm ... Stretch Bracelet,$6.30,Original $14.00
"Jingle Bell, Candy Cane & ... Snowflake Charm Bangle Bracelet Set",$6.30,Original $14.00
Red & Gold Tone Nutcracker ... Nickel Free Drop Earrings,$5.40,Original $12.00
Mudd® Seed Bead Stretch ... Bracelet Set,$8.40,Regular $14.00
"
							
						Gold Tone Angel Pin
							
					",$6.30,Original $14.00
LC Lauren Conrad Mother Of ... Pearl Monogram Pendant Necklace,$12.60,Regular $18.00
Candy Cane Striped Bangle ... Bracelet,$7.20,Original $16.00
Christmas Wreath Nickel Free ... Drop Earrings,$5.40,Original $12.00
Dana Buchman Twisted Infinity ... Pendant Necklace,$19.60,Regular $28.00
Snowman Nickel Free Drop ... Earrings,$4.50,Original $10.00
Silver Tone Snowflake ... Christmas Tree Pin,$6.30,Original $14.00
"
							
						Multistrand Necklace
							
					",$15.60,Regular $26.00
Dana Buchman Interlocking ... Circle Drop Earrings,$11.20,Regular $16.00
Mudd® Beaded Stretch & Woven ... Bracelet Set,$10.80,Regular $18.00
"Grey Bead & Rose Gold Tone ... ""Sister"" Charm Bangle Bracelet Set",$13.99,Regular $24.00
"
							
						Holiday Snowman & Bird Pin
							
					",$6.30,Original $14.00
Snowman Nickel Free Drop ... Earrings,$4.50,Original $10.00
Christmas Tree Tinsel Drop ... Earrings,$4.50,Original $10.00
Simply Vera Vera Wang Green ... Simulated Crystal Teardrop Necklace,$22.80,Regular $38.00
LC Lauren Conrad Long Leaf ... Pendant Necklace,$12.60,Regular $18.00
Jennifer Lopez Chain ... Multistrand Long Necklace,$19.60,Regular $28.00
Simulated Crystal Snowflake ... Nickel Free Drop Earrings,$5.40,Original $12.00
"Simulated Pearl & Bead Silver ... Tone ""Faith"" Charm Bangle Bracelet Set",$13.99,Regular $24.00
Simply Vera Vera Wang Black ... Graduated Stone Cluster Necklace,$20.40,Regular $34.00
LC Lauren Conrad Tri Tone Leaf ... Cluster Nickel Free Drop Earrings,$9.80,Regular $14.00
"
							
						Marquise Link Long Necklace
							
					",$9.00 - $12.00,Regular $20.00
"
							
						Pave Snowflake Drop Earrings
							
					",$6.30,Original $14.00
Present Bow Nickel Free Drop ... Earrings,$7.20,Original $16.00
LC Lauren Conrad Round Stud ... Earrings,$7.00,Regular $10.00
Snowflake Charm Double Strand ... Necklace & Drop Earring Set,$8.10,Original $18.00
Simulated Pearl & Crystal  ... Nickel Free Angel Drop Earrings,$4.50,Original $10.00
Star & Jingle Bell Nickel Free ... Linear Earrings,$4.50,Original $10.00
Simply Vera Vera Wang Bead ... Long Multistrand Necklace,$22.80,Regular $38.00
Napier Braided Oval Hoop ... Earrings,$10.80,Regular $18.00
"
							
						Poinsettia Pin
							
					",$6.30,Original $14.00
"Cubic Zirconia Pendant ... Necklace, Earring & Bracelet Set",$8.99,Regular $18.00
"
							
						Dana Buchman Butterfly Pin
							
					",$14.99,Regular $26.00
Christmas Red & Green Twist ... Hoop Earrings,$4.50,Original $10.00
"LC Lauren Conrad Heart, Cross ... & Textured Ring Set",$11.20,Regular $16.00
Mudd® Gold Tone Beaded Long ... Necklace,$9.60,Regular $16.00
Mudd® Wood Bead & Woven Cord ... Stretch Bracelet Set,$9.60,Regular $16.00
LC Lauren Conrad Pave Branch ... Climber Earrings,$9.80,Regular $14.00
LC Lauren Conrad Silver Tone ... Heart Necklace,$9.80,Regular $14.00
"
							
						Holiday Reindeer Pin
							
					",$7.20,Original $16.00
"1928 Two Tone Crystal, Heart & ... Initial Charm Bangle Bracelet",$18.00,Regular $24.00
Mudd® Beaded Charm Stretch ... Bracelet Set,$10.80,Regular $18.00
"
							
						Snowflake Charm Necklace
							
					",$7.20,Original $16.00
Simply Vera Vera Wang ... Simulated Pearl Necklace,$20.40,Regular $34.00
"
							
						Holiday Snowman Pin
							
					",$6.30,Original $14.00
Two Tone Reindeer Nickel Free ... Drop Earrings,$5.40,Original $12.00
LC Lauren Conrad Long Openwork ... Medallion Disc Pendant Necklace,$12.60,Regular $18.00
Napier® Two Tone Triple-Twist ... Hoop Earrings,$12.00,Regular $20.00
LC Lauren Conrad Circle Stud ... Earring Set,$15.40,Regular $22.00
"Blue Star, Christmas Tree, ... Snowflake, Angel & Snowman Nickel Free Earring Set",$7.20,Original $16.00
Christmas Bead Double Strand ... Necklace & Drop Earring Set,$7.20,Original $16.00
LC Lauren Conrad Owl Stud ... Earrings,$9.80,Regular $14.00
"Snowflake, Present & Tree ... Charm Pendant Necklace",$7.20,Original $16.00
"
							
						Filigree Teardrop Earrings
							
					",$7.20,Regular $12.00
Simply Vera Vera Wang ... Crisscross Cup Chain Cuff Bracelet,$18.00,Regular $30.00
"
							
						Napier Poinsettia Pin
							
					",$12.00,Regular $20.00
Mudd® Two Tone Wood Bead ... Stretch Bracelet Set,$8.40,Regular $14.00
"Blue Bead & Simulated Stone ... ""Best Friends"" Charm Stretch Bracelet Set",$13.99,Regular $24.00
Layered Snowflake Nickel Free ... Hoop Earrings,$5.40,Original $12.00
Gingerbread Men Nickel Free ... Drop Earrings,$5.40,Original $12.00
Bow & Christmas Tree Drop ... Earrings,$4.50,Original $10.00
"
							
						Twist Double U-Hoop Earrings
							
					",$6.00,Regular $10.00
LC Lauren Conrad Braided ... Herringbone Chain Bracelet,$9.80,Regular $14.00
LC Lauren Conrad Cubic ... Zirconia Halo Necklace,$9.80,Regular $14.00
LC Lauren Conrad Dachshund ... Pendant Necklace,$9.80,Regular $14.00
LC Lauren Conrad Geometric ... Nickel Free Drop Earrings,$9.80,Regular $14.00
Simply Vera Vera Wang Blue ... Cluster Necklace,$20.40,Regular $34.00
LC Lauren Conrad White Round ... Crackle Nickel Free Stud Earrings,$8.40,Regular $12.00
"
							
						Ornament Drop Earrings
							
					",$4.50,Original $10.00
