Lele Sadoughi Starlight Crystal Hoop,$168.00
OAD New York Dome Metallic Leather Wristlet,$295.00
Halogen® Faux Fur Scarf,$49.00
Ray-Ban Meteor 50mm Wayfarer Sunglasses,$173.00
kate spade new york small square stud earrings,$44.00
Madewell Paint Stripe Transport Leather Tote,$188.00
Kendra Scott Thomas Drop Earring,$85.00
Madewell Medium Leather Transport Tote,$158.00
kate spade new york things we love oblong scarf,$98.00
Tory Burch Gemini Link Coated Canvas Tote,$198.00
Monica Vinader Engravable Havana Friendship Chain Bracelet (Exclusive Collection),$195.00 – $225.00
Street Level Reversible Faux Leather Tote & Wristlet,$49.00
kate spade new york mini small square stud earrings,$32.00
Gucci GG Marmont 2.0 Matelassé Leather Shoulder Bag,$980.00
Leith Waffle Grid Oblong Scarf,$32.00
Longchamp 'Large Le Pliage' Tote,$145.00
BP. Foldover Crossbody Bag,$39.00
BP. Reversible Houndstooth & Grid Scarf,$29.00
Kendra Scott Elisa Birthstone Pendant Necklace,$50.00 – $60.00
Gucci Soho Disco Leather Bag,"$1,190.00"
Fjällräven 'Kånken' Water Resistant Backpack,$80.00
Madewell Zip Top Transport Leather Tote,$188.00
Free People Jaden Rib Knit Blanket Scarf,$48.00
kate spade one in a million initial pendant necklace,$48.00
BP. Leopard Print Scarf,$19.00
Gucci Leather Belt,$350.00
Kendra Scott Elisa Filigree Pendant Necklace,$65.00
BP. Faux Leather Canteen Crossbody Bag,$39.00
Nadri Edwardian Ear Crawlers,$45.00
Halogen® Faux Fur Cape,$149.00
Treasure & Bond Cable Knit Beanie with Faux Fur Pom,$29.00
Herschel Supply Co. 'Novel' Duffel Bag,$85.00
Burberry Giant Check Print Wool & Silk Scarf,$390.00
kate spade new york jackson street - hayley leather satchel,$258.00
kate spade new york one in a million initial pendant necklace,$58.00
BP. Check Scarf,$24.00
Leith Tassel Faux Fur Stole,$48.00
BP. Knit Beanie with Faux Fur Pompom,$19.00
kate spade new york small square stud earrings,$38.00
Rebecca Minkoff 'Regan' Satchel,$325.00
BP. Circle Charm Necklace,$12.00
Tory Burch Perry Leather Tote,$398.00
Kendra Scott Elle Filigree Drop Earrings,$65.00
Halogen® Solid Cashmere Scarf,$149.00
Kyi Kyi Beanie with Genuine Fox Fur Pom,$85.00
kate spade new york bright idea stud earrings,$38.00
kate spade new york 'idiom - heart of gold' bangle,$32.00
Halogen® Cashmere Cable Knit Beanie with Faux Fur Pom,$55.00
BP. Contrast Lining Faux Leather Tote,$49.00
Kendra Scott Rayne Stone Tassel Pendant Necklace,$80.00 – $90.00
Gucci Logo Leather Belt,$450.00
Nordstrom Cashmere Lined Leather Touchscreen Gloves,$99.00
Bose® SoundSport® Free Wireless Headphones,$199.00
Longchamp 'Small Le Pliage' Tote,$125.00
Barefoot Dreams Pompom Beanie & Scarf Set,$78.00
Saint Laurent 'Large Monogram' Quilted Leather Wallet on a Chain,"$1,650.00"
Madewell Small Transport Leather Crossbody Tote,$148.00
kate spade new york mini small square semiprecious stone stud earrings,$48.00
Trouvé Solid Scarf,$35.00
Burberry Small Banner Perforated Leather Tote,"$1,650.00"
Kyi Kyi Genuine Fox Pompom Hat,$85.00
Leith Abstract Geo Print Scarf,$32.00
Calpak Kaya Faux Leather 15-Inch Laptop Backpack,$89.00
BP. Faux Fur Pompom Beanie,$19.00
Quay Australia x Desi Perkins High Key 62mm Aviator Sunglasses,$65.00
CALPAK Ambeur 20-Inch Rolling Spinner Carry-On,$135.00
Gucci Small GG Marmont 2.0 Matelassé Leather Camera Bag,"$1,290.00"
MARC JACOBS Snapshot Crossbody Bag,$295.00
Tory Burch 'Ella' Nylon Tote,$198.00
Burberry Mega Check Cashmere Scarf,$490.00
Halogen® Slouchy Cashmere Beanie,$39.00
Rebecca Minkoff 'Regan' Satchel,$345.00
Gucci Double-G Buckle Calfskin Belt,$350.00
Jane Basch Designs Personalized Bar Pendant Necklace,$98.00
Rebecca Minkoff Small Love Leather Crossbody Bag,$195.00
"David Yurman Cable Classics Bracelet with 18K Gold, 4mm",$395.00
Bony Levy Birthstone Stacking Ring (Nordstrom Exclusive),$279.00
Burberry Half Mega Fashion Wool Fringe Scarf,$290.00
BP. Faux Fur Pompom Beanie,$19.00
Fjällräven 'Mini Kånken' Water Resistant Backpack,$70.00
BP. 2-Pack Stone Earrings,$19.00
Nordstrom Tissue Weight Wool & Cashmere Scarf,$99.00
BP. Multicolor Bouclé Scarf,$29.00
kate spade new york 'one in a million' initial pendant necklace,$58.00
Gucci GG Marmont Matelassé Leather Wallet on a Chain,"$1,450.00"
Rebecca Minkoff 'Julian' Backpack,$295.00
Saint Laurent Medium Lou Calfskin Leather Camera Bag,"$1,150.00"
Bony Levy Diamond Stud Earrings (Nordstrom Exclusive),"$575.00 – $13,330.00"
Nordstrom 2ct tw Cubic Zirconia Earrings,$46.00
BP. Leopard Print Oblong Scarf,$19.00
Madewell Zip Top Transport Leather Carryall,$188.00
BP. Plaid Infinity Scarf,$19.00
